seen_auc,seen_t,seen_p,unseen_auc,unseen_t,unseen_p,gap,gap_t,gap_p
0.50986899494856,1.7798996995026517,0.08212,0.5112658178996139,2.2139253479050263,0.03168,-0.001396822951053927,-0.5300030176791498,0.60304
0.50924273125668,1.4188283492117446,0.16522,0.5158440879982187,2.1304612085058863,0.03813,-0.006601356741538769,-1.778607374313136,0.08232
0.5067548744824066,1.2404055886577723,0.2232,0.5117235819768134,2.0771760840754876,0.04329,-0.004968707494406727,-1.372432043220472,0.17919
0.5118049043639574,1.9091182031040146,0.06262,0.5082196240536765,1.4305299673535985,0.1617,0.003585280310280936,1.2587989120736913,0.21652
0.5108724241434451,1.7966301339798336,0.0794,0.5085298137357682,1.4846983348149958,0.14712,0.002342610407676851,0.655981617277632,0.51997
0.5083439325222561,1.3591746627507808,0.183,0.5098995338427678,1.5764392544971009,0.12378,-0.0015556013205117068,-0.46901854191877895,0.64455
0.5059664932588059,1.2282222677110042,0.22793,0.5063335293249789,1.1606441010488318,0.25458,-0.00036703606617293725,-0.10682482516569683,0.91615
0.5117522866479164,1.994489952010776,0.05189,0.5094948963852696,1.9398902274884449,0.05842,0.00225739026264677,0.6146796297353617,0.54573
0.5127857034260448,2.1810619935344375,0.03409,0.5104844628967727,1.5120351105990835,0.13989,0.0023012405292720407,0.652095798303206,0.52247
0.5095871784191301,1.9429221729234267,0.05796,0.5051662713432737,0.9991742254834618,0.32749,0.004420907075856378,1.1868703685037207,0.24413
0.5112179058474876,1.9157632243467864,0.0618,0.5090594987257306,1.398942254118681,0.17113,0.002158407121757004,0.6681018648825499,0.51162
0.5106501944559525,1.8195643299814437,0.07593,0.5066097686652862,1.3162828015909573,0.19686,0.004040425790666307,1.5357798702349676,0.13373
0.511945849199364,2.177820051806226,0.03435,0.5089800105860421,1.8547906931303033,0.07037,0.002965838613321888,1.083781925351716,0.28775
0.5147661127235137,2.0010050316745978,0.05103,0.5074975512359808,1.0752729248734691,0.2914,0.007268561487532861,2.137294403356547,0.03746
0.5133485723593161,1.9880895192828276,0.05259,0.5126250803848289,1.7034383426209827,0.09687,0.0007234919744871709,0.24458018240350055,0.80944
0.5064274698654085,1.3280851093565404,0.19303,0.5078760491590326,1.6801861048767743,0.10143,-0.0014485792936240402,-0.4857780359467243,0.63348
0.5139295215117454,2.1983558403842047,0.03288,0.5094309963161145,1.5347085409546835,0.13406,0.0044985251956308515,1.30854061485446,0.19972
0.5154860997163505,1.9971220257640407,0.0515,0.5126536491087147,1.74528165463001,0.08845,0.002832450607635797,0.8117992019897305,0.42695
0.5076580537400217,1.4713027018380709,0.15069,0.509785542708403,1.762225537487793,0.08524,-0.0021274889683814005,-0.6165528818804549,0.54447
0.5036987463283582,0.839217212373959,0.4122,0.507048611372685,1.4737981196735543,0.15005,-0.003349865044326805,-0.9160094253841038,0.36976
