ticker,편입일수,가격있는편입일수,복원율,가격첫날,가격마지막날,편입첫날,편입마지막날,분류
RTN,2149,0,0.0,,,2011-09-21,2020-04-03,가격 없음
S,450,0,0.0,2021-06-30,2026-09-21,2011-09-21,2013-07-08,재사용 의심
SATS,65,0,0.0,,,2026-03-23,2026-06-23,가격 없음
SBNY,309,0,0.0,2024-08-15,2026-09-21,2021-12-20,2023-03-14,재사용 의심
SCG,1832,0,0.0,,,2011-09-21,2018-12-31,가격 없음
SE,1367,0,0.0,2017-10-20,2026-09-21,2011-09-21,2017-02-24,재사용 의심
SEDG,502,501,0.99800796812749,2015-03-26,2026-09-21,2021-12-20,2023-12-15,복원
SEE,3082,0,0.0,,,2011-09-21,2023-12-15,가격 없음
SHLD,241,0,0.0,2023-09-14,2026-09-21,2011-09-21,2012-09-04,재사용 의심
SIAL,1047,0,0.0,,,2011-09-21,2015-11-17,가격 없음
SIG,665,664,0.9984962406015038,2011-09-21,2026-09-21,2015-07-29,2018-03-16,복원
SIVB,1256,0,0.0,,,2018-03-19,2023-03-14,가격 없음
SLG,1511,1510,0.99933818663137,2011-09-21,2026-09-21,2015-03-23,2021-03-19,복원
SLM,655,655,1.0,2011-09-21,2026-09-21,2011-09-21,2014-04-30,복원
SNDK,1373,203,0.14785142024763293,2025-02-13,2026-09-21,2011-09-21,2026-09-21,부분 복원
SNI,1625,0,0.0,,,2011-09-21,2018-03-06,가격 없음
SOLS,36,36,1.0,2025-10-20,2026-09-21,2025-10-30,2025-12-19,복원
SPLS,1505,0,0.0,2026-01-16,2026-09-21,2011-09-21,2017-09-12,재사용 의심
SRCL,1813,0,0.0,,,2011-09-21,2018-11-30,가격 없음
STI,2068,0,0.0,2022-05-02,2026-09-21,2011-09-21,2019-12-06,재사용 의심
STJ,1332,0,0.0,,,2011-09-21,2017-01-04,가격 없음
SUN,263,11,0.04182509505703422,2012-09-20,2026-09-21,2011-09-21,2012-10-04,부분 복원
SUNEQ,62,0,0.0,,,2011-09-21,2011-12-16,가격 없음
SVU,153,0,0.0,,,2011-09-21,2012-04-30,가격 없음
SWN,1393,0,0.0,,,2011-09-21,2017-04-03,가격 없음
SWY,841,0,0.0,,,2011-09-21,2015-01-26,가격 없음
SYMC,2045,0,0.0,,,2011-09-21,2019-11-04,가격 없음
TDC,1445,1444,0.9993079584775086,2011-09-21,2026-09-21,2011-09-21,2017-06-16,복원
TE,1203,0,0.0,2020-01-10,2026-09-21,2011-09-21,2016-06-30,재사용 의심
TEG,948,0,0.0,,,2011-09-21,2015-06-29,가격 없음
TFX,1554,1552,0.9987129987129987,2011-09-21,2026-09-21,2019-01-18,2025-03-21,복원
TGNA,1434,0,0.0,,,2011-09-21,2017-06-01,가격 없음
THC,1150,1149,0.9991304347826087,2011-09-21,2026-09-21,2011-09-21,2016-04-15,복원
TIE,316,0,0.0,,,2011-09-21,2012-12-21,가격 없음
TIF,2340,0,0.0,,,2011-09-21,2021-01-06,가격 없음
TLAB,64,0,0.0,,,2011-09-21,2011-12-20,가격 없음
TMK,1983,0,0.0,,,2011-09-21,2019-08-07,가격 없음
TRIP,2014,2013,0.9995034756703078,2011-12-07,2026-09-21,2011-12-21,2019-12-20,복원
TSS,2014,0,0.0,,,2011-09-21,2019-09-20,가격 없음
TWC,1172,0,0.0,,,2011-09-21,2016-05-17,가격 없음
TWTR,1109,0,0.0,,,2018-06-07,2022-10-31,가격 없음
TWX,1695,0,0.0,,,2011-09-21,2018-06-14,가격 없음
UA,1561,1561,1.0,2016-03-23,2026-09-21,2016-04-08,2022-06-17,복원
UAA,2050,2049,0.9995121951219512,2011-09-21,2026-09-21,2014-05-01,2022-06-17,복원
UNM,2516,2515,0.9996025437201908,2011-09-21,2026-09-21,2011-09-21,2021-09-17,복원
URBN,1382,1381,0.9992764109985528,2011-09-21,2026-09-21,2011-09-21,2017-03-17,복원
UTX,2148,0,0.0,,,2011-09-21,2020-04-02,가격 없음
VAR,2410,0,0.0,,,2011-09-21,2021-04-19,가격 없음
VFC,3152,3150,0.9993654822335025,2011-09-21,2026-09-21,2011-09-21,2024-03-28,복원
VIAB,2066,0,0.0,,,2011-09-21,2019-12-04,가격 없음
VIAC,555,0,0.0,,,2019-12-05,2022-02-16,가격 없음
VIAV,567,567,1.0,2011-09-21,2026-09-21,2011-09-21,2013-12-20,복원
VMRK,25,24,0.96,2011-09-21,2026-09-21,2026-08-18,2026-09-21,복원
