설정,종목수,AUC,t값,p단측,p양측,독립날짜,ΔAUC(대 기준선),차이 t,차이 p양측,판정
기준선 (⑧ 제외 전부 교정),501,0.5106945676684813,1.711493078920772,0.046740000000000004,0.09514,2656,,,,유의하지 않음
"검정만 구 방식 (NW lag=h, t분포)",501,0.5106945676684813,1.8516358252315972,0.03209454671433554,0.06418909342867107,2656,0.0,,,유의하지 않음
① p값만 iid 가정,501,0.5106945676684813,1.711493078920772,0.0,0.0,2656,0.0,,,유의
② 소표본 유니버스,42,0.5100906524009532,1.391733901689442,0.08555000000000001,0.17319,2656,-0.0006039152675280382,-0.07325483390644032,0.94195,유의하지 않음
⑤ 평가일 솎아내기(구 방식),501,0.5112283879409943,1.5741832695769817,0.058937830869083774,0.11787566173816755,131,0.0,,,유의하지 않음
전부 순진하게 (원래 상태),42,0.5115797126087636,1.2379133892794558,0.18166555283974795,0.3633311056794959,131,0.00035132466776921544,0.046716217632188556,0.97185,유의하지 않음
