auc,t,p,p_one,T
0.5031200073877636,0.39120042513773107,0.70099,0.3506,2655
0.5134367055393417,1.7517162324906383,0.08732,0.04312000000000005,2655
0.5099178275367371,1.4984532329419167,0.14344,0.07086000000000003,2655
0.4947254581054016,-0.6981935250504753,0.49294,0.7533,2655
0.5017071913709482,0.236540376392852,0.81561,0.40845,2655
0.500378161921836,0.06377600276928579,0.94913,0.47391000000000005,2656
0.5068743994773051,1.0934874376757202,0.28339,0.14044999999999996,2655
0.5111892260356747,1.7853279555733832,0.08129,0.040139999999999953,2655
0.501065139946563,0.18260182473807698,0.85695,0.42803,2655
0.5054923986669022,0.8477476523355654,0.40738,0.20289999999999997,2655
0.5068723746471182,0.8664696039156222,0.39671,0.19776000000000005,2655
0.5124469853226915,1.8551784482785858,0.07033,0.034599999999999964,2655
0.49909013071644226,-0.13247964750786878,0.8957,0.5514600000000001,2655
0.5134191200095584,1.522062596864148,0.13708,0.06776000000000004,2656
0.5169950378142468,2.055241486771587,0.04555,0.022440000000000015,2655
0.5114203904411734,1.3294539568183834,0.19249,0.09511000000000003,2655
0.5085067681646948,1.1485517472412785,0.2596,0.12863999999999998,2655
0.49164460930457016,-1.334115122652357,0.19099,0.90344,2655
0.49767028754102377,-0.3739325489926859,0.71285,0.64384,2656
0.5146845467628357,2.1129528587364357,0.03978,0.019630000000000036,2655
0.5115634462262475,1.4481005493387709,0.15688,0.07755000000000001,2656
0.5049834381038238,0.7261688713934091,0.47625,0.23775000000000002,2655
0.4999814588372105,-0.0025554016116324427,0.99791,0.49990999999999997,2655
0.5058570583958161,0.885721262342588,0.38575,0.19245,2655
0.503896244719749,0.5104550586197556,0.61642,0.3075,2656
0.5053593451684945,0.914898400554729,0.37035,0.1845,2655
0.5155860752567456,2.478874248963827,0.01707,0.008560000000000012,2655
0.5040386115162356,0.5253103164897976,0.60622,0.30245999999999995,2655
0.5058487568913316,0.8151245065269175,0.42528,0.21181000000000005,2655
0.5051917644327225,0.6878740860938937,0.49925,0.24944,2655
0.5009444718086131,0.13736646326524296,0.89178,0.44521,2655
0.5058927023414513,0.7284682147567292,0.47496,0.23707999999999996,2655
0.5051095413518102,0.668545538081244,0.5114,0.25555000000000005,2655
0.5021469981906231,0.31766485634328534,0.7549,0.37799000000000005,2655
0.4999016466599195,-0.016953839524167458,0.98629,0.50604,2655
0.5119696713984765,1.5082235276415847,0.14087,0.06974999999999998,2655
0.49658687348134484,-0.4907219248111695,0.63018,0.68447,2655
0.506721075423125,1.1128113660046923,0.27497,0.13617,2655
0.5104858783471098,1.2898437689258058,0.20596,0.10199999999999998,2655
