비교,ΔAUC,t,p양측,공통날짜
편입일 룩어헤드 (A-B),0.003746017586040509,0.9644231752904451,0.34537,2654
생존 편향 (B-C),0.009264599239228375,1.165479498995315,0.25253,2655
합계 (A-C),0.013066543894301662,1.2643121813447675,0.21453,2654
라벨 수정의 영향 (C-C구),-0.00018071833583916842,-0.3360089573302296,0.74124,2655
