조건,AUC,t,p단측,p양측,날짜,종목수
A,0.5106945676684813,1.711493078920772,0.046740000000000004,0.09514,2656,501
B,0.5068085389691492,1.503695827094393,0.07021999999999995,0.14206,2655,494
C,0.49754393972992084,-0.4947743274063506,0.68577,0.62744,2655,501
C_old,0.49772465806576,-0.45498676352995393,0.67238,0.65438,2655,501
